tship_code,township,district,district_code,rain_annual_mean_mm,rain_annual_last5_mean_mm,rain_wet_season_share,rain_extreme_months,rain_annual_trend_mm_yr,rain_annual_trend_pct_yr,rain_p95_monthly_mm,rain_total_months,elev_mean_m,elev_min_m,elev_max_m,slope_mean_pct,pop_est,schools,health_facilities,rfh_mean,r1h_mean,r3h_mean,rfh_p95,n_obs,child_share,elderly_share,area_km2,pop_density
T11,Hlegu,North,MMR013D001,2510.8900742294827,2780.109237871021,0.8251674068921239,13,32.25139891297327,1.284460807105236,690.3923400878904,245,36.36994934082031,-1.718136191368103,487.4893798828125,7.577688889168292,333263.3923088275,22,16,77.89492134728916,229.8821489439759,658.7481585843374,246.525325,166,0.1527107660610566,0.0567952570800153,1510.1708583120055,220.679263193658
T12,Htantabin,North,MMR013D001,2060.9731544019355,2300.034411532001,0.8032899077571692,13,30.96388557502813,1.5023915041733478,543.5956470690276,245,4.065871238708496,-4.661367893218994,23.26786231994629,1.500767573021094,162417.50142450904,9,12,77.89492134728916,229.8821489439759,658.7481585843374,246.525325,166,0.1527107660610566,0.0567952570800153,599.305816244372,271.00938623008784
T13,Botahtaung,East,MMR013D002,2171.822637188435,2368.622375416756,0.7696972513521722,13,33.19598271721288,1.5284849761114576,581.9227905273438,245,8.840450286865234,0.5,23.0657901763916,6.05156519151313,53270.63427716411,19,21,81.15523703801205,239.6130675583735,688.1608066945782,264.28845,166,0.1298327673435917,0.0771597256646694,2.488264149359821,21408.75368512203
T14,Mayangone,West,MMR013D004,2222.0693119684856,2393.1956010222434,0.7868228527464409,13,27.207353251828923,1.2244151478662242,598.6425252278646,245,15.253544807434082,-1.9102489948272705,44.91732406616211,5.123733035731314,240883.157508458,33,39,73.54819259542168,217.18272840445783,624.881527813253,239.58333,166,0.1056458393233006,0.085817964788632,27.02052460159885,8914.821642441559
T15,Kyeemyindaing,West,MMR013D004,2136.532950142026,2319.865355396271,0.780393539433382,13,29.86185020427951,1.3976779624341595,573.9406341552734,245,7.779721736907959,1.0,29.861473083496094,3.648998425319508,77312.51944121103,16,29,73.54819259542168,217.18272840445783,624.881527813253,239.58333,166,0.1056458393233006,0.085817964788632,4.374128401089422,17674.954265621363
T16,Latha,West,MMR013D004,2128.9112649142744,2321.859205710888,0.7721744751903677,13,32.360137457865505,1.5200322339018937,574.572705078125,245,14.432904243469238,3.038264036178589,32.58474349975586,8.522465581757116,22364.84041770741,10,17,73.54819259542168,217.18272840445783,624.881527813253,239.58333,166,0.1056458393233006,0.085817964788632,0.6159336422952327,36310.4706123316
T17,Mingalartaungnyunt,East,MMR013D002,2219.878208884597,2398.463565337658,0.7751892045538743,13,29.896727144045915,1.3467733060485272,584.5931579589843,245,11.186634063720703,0.5,29.84434700012207,6.245449670915175,154705.65124199758,11,14,81.15523703801205,239.6130675583735,688.1608066945782,264.28845,166,0.1298327673435917,0.0771597256646694,4.975481956884059,31093.601098873925
T18,Tamwe,East,MMR013D002,2219.878208884597,2398.463565337658,0.7751892045538743,13,29.896727144045915,1.3467733060485272,584.5931579589843,245,12.171119689941406,1.0,28.698749542236328,6.221697702045666,142716.04983645809,43,83,81.15523703801205,239.6130675583735,688.1608066945782,264.28845,166,0.1298327673435917,0.0771597256646694,4.955091330274811,28801.900978996284
T19,Thaketa,East,MMR013D002,2268.7765054792167,2450.2569392859937,0.7776637167934644,13,29.9792230194672,1.321382822286187,606.8546173095704,245,6.074254035949707,0.5,19.250661849975582,3.072656168897672,239582.52195370625,57,31,81.15523703801205,239.6130675583735,688.1608066945782,264.28845,166,0.1298327673435917,0.0771597256646694,13.68322722838884,17509.21167607595
T20,Dagon Myothit (East),East,MMR013D002,2467.4870976585607,2689.0037001609803,0.7967645627724471,13,30.014340316373666,1.2163929993739284,666.2453697791466,245,4.662581443786621,0.848092257976532,20.732484817504883,1.0990659832774772,186206.0292069931,39,19,81.15523703801205,239.6130675583735,688.1608066945782,264.28845,166,0.1298327673435917,0.0771597256646694,137.26773857523193,1356.5170603064878
